from,to,distance
917534,298526345,81.61879338339452
917534,298526371,74.18941222321072
917538,9675021685,39.14385218840785
917538,6118560126,3.56146401382534
917538,298523998,36.66594531863348
917538,298526381,51.70783538302522
917591,9675021653,15.173412175073762
917591,7293072277,12.105734953245625
917591,313723272,59.68330983772062
917599,298526449,43.21076238067271
917599,7292973821,95.76301702672725
917599,298526431,109.47895166554055
917881,13284899620,1.588220197162075
917881,13284899647,15.90363030453098
917881,246998274,60.34855265047717
917907,7251600068,7.394323973817234
917907,7251600037,7.006736446771279
917907,14392732,40.158028793525226
917907,6009897242,98.12759166173497
917907,11250734248,52.474923787323895
917971,3774660212,16.68661970054014
917971,4578221071,5.411977167404459
917971,8205426812,35.04771404771027
917999,7251617866,4.370212123575671
917999,296406953,67.2916492442499
917999,13144511907,99.8405130460381
918054,296398881,3.2405269386806634
918054,298282362,68.03552251443615
918054,3774727779,59.924819654495096
918054,5328056526,22.815287119023306
918059,4583327832,4.698855355320363
918059,4675546074,40.763903453530084
918059,4675546158,9.289738710108102
918067,3774660041,42.7160074026714
918067,296403272,62.34115570587218
918067,7294917541,4.6508249328416955
918069,7294917530,95.92433391440568
918069,7294917560,187.32441114178238
918069,7294917510,137.21755919361624
918072,7294917530,13.888819265295766
918072,296403272,138.22411842664397
918072,7294917537,54.32792285910443
918437,11824381674,5.836913863490585
918437,5638537428,5.5617168070112255
918437,11824381675,13.212382370095463
918437,4715018383,8.694692286778885
918516,267210391,22.54156491612227
918688,12427086504,13.980795662164574
918688,2473224,39.02162237681677
918688,2953133056,58.77466480890643
918688,12580255562,21.2816853815384
1112518,8836215183,103.03027943498812
1533890,4545351851,6.709588422267502
1533895,5586309328,13.556749953332806
1533964,5157831600,9.669870612471218
1533967,5157831583,6.999181656420086
1533967,5157831537,8.48738207278609
1533967,6744092698,35.29712129030919
1533978,297579816,10.839706988751159
1533978,1533979,10.822200131978759
1533978,270058012,32.174326221407725
1533979,272222722,30.9448488325169
1533979,1533978,10.822200131978759
1533979,4517026425,12.426404010801553
2115541,254084749,16.98241441419417
2115541,5812184005,21.780167650105923
2115541,5812183982,24.871707110980772
2115557,270406044,285.72681135698343
2115557,2337686284,728.2603564873366
2115557,2329406844,251.5500271421254
2115576,13062881700,9.821781298517953
2115576,7294776714,40.6486223171912
2115576,13062881695,23.455991870754684
2115591,2115593,13.192362070075085
2115591,6123686291,84.62110668872765
2115593,3023058362,78.46405797575532
2115593,2115591,13.192362070075086
2115593,7234159402,128.9178051061798
2115593,7234159598,81.96206789603214
2117467,41688349,230.22230706366204
2117467,2117478,359.0455690821472
2117467,2698936161,150.27884485616204
2117478,2117481,40.593273749110566
2117478,2117467,359.0455690821472
2117478,1719806522,182.63313535100423
2117481,2117487,189.48008031384234
2117481,4549200446,163.05410101439
2117481,2117478,40.593273749110566
2117487,12424880691,10.429894847746446
2117487,2117481,189.48008031384234
2117487,4599744252,329.5666368875105
2117487,12424880695,117.93412967294445
2117505,2354192188,166.68443232990018
2117505,571097160,290.73163675504463
2117505,2726048768,64.83444088718066
2119719,5298428853,6.016605830543389
2119719,7294845309,10.646220885443697
2119719,1742844056,23.723647296480177
2119744,270764256,22.76465312315899
2119744,1719806513,16.207940041522505
2119744,1719806542,10.391057241002255
2119745,2119747,82.94278932347211
2119745,270764658,17.201898727349477
2119745,2699016319,56.5548092005625
2119745,1719806542,7.473515779269711
2119747,270763979,7.2345920830109955
2119747,7176200104,6.676347024317749
2119747,7176200114,7.450351821010275
2119747,2119745,82.9427893234721
2119748,2361338326,19.52357070983524
2119748,2361338330,19.198013862196042
2119748,270763979,33.98381838884163
2119750,41881837,18.066103195093334
2119750,299349896,27.12585262358224
2119750,2361338330,16.714253166720496
2119822,11343792319,22.935494343101556
2119822,11343792345,7.126238223252754
2119822,4513817383,7.356772366809126
2119824,4628805433,13.350755712510075
2119824,7293222561,9.783949653652272
2119824,9293701589,87.22795443539802
2119824,299592179,36.52270476470121
2119825,7198913325,7.765196110819886
2119825,9297721164,160.25332753525765
2119825,6003489009,22.50172801721199
2471180,4557649798,4.589699552346576
2471180,5732184905,7.363299495048224
2471180,2138843136,93.08739971792066
2471182,4557649361,93.11451150832448
2471182,4557649792,33.95964965508569
2471182,4557649352,8.719717715005183
2473223,5643887821,25.275787006481785
2473224,918688,39.02162237681677
